Commercial_Name,Activity_Label
مطعم ابراهيم فهد محمد الطريفي لتقديم الوجبات,مطاعم
مؤسسة نبيل سامى بن محمد مكى الكتبي للخط والرسم,تصميم/فنون
بوفية منارة القريات الذهبية للوجبات السريعة,مطاعم
مطاعم داجن المميز للوجبات السريعة,مطاعم
مؤسسة فالح معزي سعود الشمري للصيانة,صيانة
محل نجم القهوة العربية التجارية,مقاهي
مصنع رهام رفيدى يحي قحاص للصناعة,تصنيع
مكتب نوال سلطان بن بدر الغربي التجارية,خدمات مكتبية
مصنع نوره حمود بن عقاب الحمادي للصناعة,تصنيع
مؤسسة إم إس جي للنقل البحري و الخدمات اللوجيستيه,نقل
مصنع نقواء ابراهيم مطلق العتيبي للصناعة,تصنيع
مؤسسة موضي شويمي بن رميس الدوسري للمقاولات,تجارة عامة
مطعم هديل عبداللطيف عبدالرحيم محبوب لتقديم الوجبات,مطاعم
مؤسسة أواق العود للتجارة والتسويق,تجارة عامة
مصنع مريم عويضه محمد أل منصور للصناعة,تصنيع
مطعم رامي علي بن سليمان العمري لتقديم الوجبات,مطاعم
مؤسسة نفوذ جيزان التجارية,تجارة عامة
ورشة فنون الصيانة لصيانة السيارات,صيانة
مصنع غازي فهيد بن غازي الاسعدي للصناعة,تصنيع
مصنع صارم سعد عبيد آل بريك للصناعات الخشبية,تصنيع
مؤسسة رحمه احمد مسعود الزهراني للتجارة,تجارة عامة
مؤسسة جنان محمد ناصر الرفيق للتجارة,تجارة عامة
مؤسسة شوق سعيد محمد ال سعد التجارية,تجارة عامة
مؤسسة لاف أستوري للأفراح و المناسبات,تجارة عامة
شركة درب للتجارة,تجارة عامة
مؤسسة عبدالعزيز بن سعد بن عطيه العنزي للمواشي,تجارة عامة
مؤسسة صالح فيصل حسين برقه للوجبات السريعة,تجارة عامة
مؤسسة خفيف ولطيف لخدمات الاعاشة,تجارة عامة
مؤسسة صفا مرزوق بن جاسم الدليم لبيع الجوالات وصيانتها,تجارة عامة
مؤسسة ساره منصور الحميدي المطيري التجارية,تجارة عامة
مصنع جواهر ناجي بن خضير آل حيدان للصناعة,تصنيع
محل زهرة سوار للتجارة,تجارة عامة
مؤسسة وتين البحار لصيانة السيارات,صيانة
مؤسسة هواتف الوادي للاتصالات,تجارة عامة
مؤسسة الرؤية الناشئة للمقاولات العامة,تجارة عامة
مؤسسة صالحه محمد على غزواني للمقاولات العامة,تجارة عامة
مؤسسة سلمى سعد مبيريك المطيري لتقديم المشروبات,تجارة عامة
مؤسسة جنا عبدالعزيز بن سالم الحربي للهدايا,تجارة عامة
